N	TD	Ano	M	F	EB	ES
1	A	2015	X	X	X	
2	M	2017		X	X	
3	M	2017		X	X	
4	A	2018		X		X
5	M	2018		X		X
6	M	2018		X		X
7	M	2018	X			X
8	M	2018	X		X	
9	G	2019	X			X
11	M	2019	X		X	
12	M	2020	X		X	
13	M	2020	X			X
14	D	2020		X	X	
15	G	2021		X	X	
16	G	2021	X		X	
17	M	2021	X		X	
18	G	2021	X			X
19	D	2021	X			X
20	M	2021	X		X	
21	G	2021	X		X	
22	M	2021	X		X	
23	A	2021	X		X	
24	A	2022	X	X		X
25	G	2022	X	X	X	
26	G	2022	X			X
27	A	2022	X		X	
28	M	2023	X		X	
29	M	2023	X		X	
30	M	2023	X		X	
31	L	2024	X		X	
32	G	2021	X		X	
33	A	2015		X	X	
34	A	2022		X	X	
35	A	2022		X	X	
36	G	2019		X		X
37	A	2017		X	X	
38	G	2021		X		X
39	G	2017	X	X	X	
40	A	2021		X	X	
41	A	2022	X			X
42	G	2021	X		X	X
43	M	2022		X		X
44	A	2021	X		X	
45	A	2022		X	X	
46	G	2023		X	X	
47	A	2023		X		X
48	M	2017		X	X	
49	M	2016		X	X	
50	M	2017		X	X	
51	M	2017		X	X	
52	M	2019	X		X	
53	M	2016		X	X	
54	M	2020	X	X	X	X
55	M	2018		X	X	
56	M	2018		X	X	
57	M	2019		X	X	
58	M	2022		X	X	
59	M	2022		X	X	
60	M	2023	X		X	
61	M	2019	X		X	
62	M	2023	X			X
63	M	2016	X		X	
64	M	2023	X		X	
65	M	2021	X		X	
66	M	2023	X		X	X
67	M	2018	X		X	
68	M	2023	X		X	
69	M	2020	X			X
70	A	2021		X	X	
71	A	2022		X		X
72	A	2021		X		X
73	A	2019		X		X
74	A	2023		X		X
75	A	2014		X		X
76	A	2019	X	X		X
