Ano	Mec	Ondul	Opt	Termo	Elet	FisMod	Outra	Antes	Durant	Depois
2015				X	X					
2017					X					
2017					X					
2018	X									
2018		X								X
2018							FM			
2019	X						AE			
2020	X			X	X				X	
2021	X									X
2022							TE			
2022			X			X			X	
2015	X									
2022	X								X	
2022	X									
2019	X									
2017	X								X	
2021	X									
2017	X									X
2021	X			X	X				X	X
2022		X	X							X
2022	X									
2023	X									X
2017	X									X
2016	X								X	
2017	X									
2017									X	
2016	X									X
2020	X									
2018	X			X	X					
2018	X									X
2019	X			X	X					X
2022		X			X					
2022	X									
2021	X									X
2022		X	X							
2021					X					
2019	X									
2023							MQ			
2014						X				
2019		X							X	
