date	Q
'01-Jan-2004'	0.897333333
'02-Jan-2004'	0.388233333
'03-Jan-2004'	0.216
'04-Jan-2004'	0.084
'05-Jan-2004'	0.102
'06-Jan-2004'	0.084
'07-Jan-2004'	0.065
'08-Jan-2004'	0.065
'09-Jan-2004'	0.065
'10-Jan-2004'	0.074
'11-Jan-2004'	0.06763125
'12-Jan-2004'	0.065
'13-Jan-2004'	0.074
'14-Jan-2004'	0.084
'15-Jan-2004'	0.084
'16-Jan-2004'	0.084
'17-Jan-2004'	0.065
'18-Jan-2004'	1.06
'19-Jan-2004'	0.272
'20-Jan-2004'	0.183
'21-Jan-2004'	0.153
'22-Jan-2004'	0.115
'23-Jan-2004'	0.074
'24-Jan-2004'	0.074
'25-Jan-2004'	0.065
'26-Jan-2004'	0.056
'27-Jan-2004'	0.065
'28-Jan-2004'	0.065
'29-Jan-2004'	0.074
'30-Jan-2004'	0.065
'31-Jan-2004'	0.056
'01-Feb-2004'	0.056
'02-Feb-2004'	0.065
'03-Feb-2004'	0.065
'04-Feb-2004'	0.093
'05-Feb-2004'	0.153
'06-Feb-2004'	0.183
'07-Feb-2004'	0.153
'08-Feb-2004'	0.14
'09-Feb-2004'	0.128
'10-Feb-2004'	0.102
'11-Feb-2004'	0.093
'12-Feb-2004'	0.093
'13-Feb-2004'	0.065
'14-Feb-2004'	0.074
'15-Feb-2004'	0.084
'16-Feb-2004'	0.084
'17-Feb-2004'	0.084
'18-Feb-2004'	0.074
'19-Feb-2004'	0.091217647
'20-Feb-2004'	0.084
'21-Feb-2004'	0.074
'22-Feb-2004'	0.074
'23-Feb-2004'	0.080333333
'24-Feb-2004'	0.233
'25-Feb-2004'	0.166
'26-Feb-2004'	0.153
'27-Feb-2004'	0.183
'28-Feb-2004'	0.183
'29-Feb-2004'	0.153
'01-Mar-2004'	0.153
'02-Mar-2004'	0.128
'03-Mar-2004'	0.115
'04-Mar-2004'	0.14
'05-Mar-2004'	0.166
'06-Mar-2004'	0.153
'07-Mar-2004'	0.14
'08-Mar-2004'	0.119078431
'09-Mar-2004'	0.128
'10-Mar-2004'	0.14
'11-Mar-2004'	0.128
'12-Mar-2004'	0.14
'13-Mar-2004'	0.166
'14-Mar-2004'	0.5
'15-Mar-2004'	0.797333333
'16-Mar-2004'	1.73
'17-Mar-2004'	1.97
'18-Mar-2004'	1.48
'19-Mar-2004'	0.812
'20-Mar-2004'	0.602
'21-Mar-2004'	0.5
'22-Mar-2004'	0.388
'23-Mar-2004'	0.9
'24-Mar-2004'	8.32
'25-Mar-2004'	8.88
'26-Mar-2004'	6.7
'27-Mar-2004'	2.912
'28-Mar-2004'	1.549714286
'29-Mar-2004'	1.0186
'30-Mar-2004'	0.682169697
'31-Mar-2004'	0.5777375
'01-Apr-2004'	0.500105882
'02-Apr-2004'	0.40774
'03-Apr-2004'	0.3526875
'04-Apr-2004'	0.316064706
'05-Apr-2004'	0.314716667
'06-Apr-2004'	1.609066667
'07-Apr-2004'	5.705
'08-Apr-2004'	2.28
'09-Apr-2004'	1.233125
'10-Apr-2004'	0.904681818
'11-Apr-2004'	0.738347826
'12-Apr-2004'	0.5795
'13-Apr-2004'	0.487272727
'14-Apr-2004'	0.503375
'15-Apr-2004'	0.518
'16-Apr-2004'	0.39815
'17-Apr-2004'	0.368458333
'18-Apr-2004'	0.344516807
'19-Apr-2004'	0.358156757
'20-Apr-2004'	0.350414286
'21-Apr-2004'	2.390158172
'22-Apr-2004'	1.02904
'23-Apr-2004'	0.694287719
'24-Apr-2004'	0.519111111
'25-Apr-2004'	0.592509091
'26-Apr-2004'	0.405987879
'27-Apr-2004'	0.34768254
'28-Apr-2004'	0.306955556
'29-Apr-2004'	0.26826087
'30-Apr-2004'	0.225916667
'01-May-2004'	0.216
'02-May-2004'	0.190451613
'03-May-2004'	0.170958333
'04-May-2004'	0.156791667
'05-May-2004'	0.16352381
'06-May-2004'	0.183
'07-May-2004'	0.273297436
'08-May-2004'	0.190607071
'09-May-2004'	0.22355
'10-May-2004'	0.183
'11-May-2004'	0.153
'12-May-2004'	0.132229167
'13-May-2004'	0.136308333
'14-May-2004'	0.221266667
'15-May-2004'	0.1354
'16-May-2004'	0.10904246
'17-May-2004'	0.178277778
'18-May-2004'	0.128
'19-May-2004'	0.115127451
'20-May-2004'	0.102
'21-May-2004'	0.090789474
'22-May-2004'	0.084
'23-May-2004'	0.084
'24-May-2004'	0.093
'25-May-2004'	0.08669375
'26-May-2004'	0.070686806
'27-May-2004'	0.065
'28-May-2004'	0.065
'29-May-2004'	0.0713125
'30-May-2004'	0.0676875
'31-May-2004'	0.0586875
'01-Jun-2004'	0.056
'02-Jun-2004'	0.051387097
'03-Jun-2004'	0.168353846
'04-Jun-2004'	0.0849
'05-Jun-2004'	0.084
'06-Jun-2004'	0.095052632
'07-Jun-2004'	0.085611111
'08-Jun-2004'	0.0615
'09-Jun-2004'	0.051833333
'10-Jun-2004'	0.045833333
'11-Jun-2004'	0.044
'12-Jun-2004'	0.049454545
'13-Jun-2004'	2.216666667
'14-Jun-2004'	0.5176
'15-Jun-2004'	0.205325
'16-Jun-2004'	0.1364
'17-Jun-2004'	0.1169
'18-Jun-2004'	0.090615
'19-Jun-2004'	0.091684615
'20-Jun-2004'	0.102
'21-Jun-2004'	0.603411765
'22-Jun-2004'	0.249433333
'23-Jun-2004'	0.148034722
'24-Jun-2004'	0.127595556
'25-Jun-2004'	0.093
'26-Jun-2004'	4.542655602
'27-Jun-2004'	0.811515439
'28-Jun-2004'	0.415942505
'29-Jun-2004'	5.51
'30-Jun-2004'	1.948705882
'01-Jul-2004'	0.768
'02-Jul-2004'	0.423466667
'03-Jul-2004'	0.74
'04-Jul-2004'	0.5072
'05-Jul-2004'	0.295833333
'06-Jul-2004'	0.215466667
'07-Jul-2004'	0.188135417
'08-Jul-2004'	0.183
'09-Jul-2004'	0.147854167
'10-Jul-2004'	0.131625
'11-Jul-2004'	0.108732143
'12-Jul-2004'	0.102
'13-Jul-2004'	0.09571875
'14-Jul-2004'	0.08671875
'15-Jul-2004'	0.084
'16-Jul-2004'	0.084
'17-Jul-2004'	0.077020833
'18-Jul-2004'	0.06771875
'19-Jul-2004'	0.056851351
'20-Jul-2004'	0.075723214
'21-Jul-2004'	0.053954545
'22-Jul-2004'	0.041625
'23-Jul-2004'	0.038
'24-Jul-2004'	0.038
'25-Jul-2004'	0.038
'26-Jul-2004'	0.0338125
'27-Jul-2004'	0.032
'28-Jul-2004'	0.032
'29-Jul-2004'	0.032
'30-Jul-2004'	0.032
'31-Jul-2004'	0.032
'01-Aug-2004'	0.023
'02-Aug-2004'	0.025373333
'03-Aug-2004'	0.0432
'04-Aug-2004'	0.027833901
'05-Aug-2004'	0.044386207
'06-Aug-2004'	0.032
'07-Aug-2004'	0.027870833
'08-Aug-2004'	0.091191667
'09-Aug-2004'	0.044907692
'10-Aug-2004'	0.572
'11-Aug-2004'	0.074
'12-Aug-2004'	0.048941176
'13-Aug-2004'	0.038333333
'14-Aug-2004'	0.03622069
'15-Aug-2004'	0.042211258
'16-Aug-2004'	0.0397875
'17-Aug-2004'	0.0337875
'18-Aug-2004'	0.0277875
'19-Aug-2004'	0.02389375
'20-Aug-2004'	0.023
'21-Aug-2004'	0.025022
'22-Aug-2004'	0.548
'23-Aug-2004'	0.071333333
'24-Aug-2004'	0.043375
'25-Aug-2004'	0.033791667
'26-Aug-2004'	0.032
'27-Aug-2004'	0.111222222
'28-Aug-2004'	0.059785714
'29-Aug-2004'	0.042238095
'30-Aug-2004'	0.033854167
'31-Aug-2004'	0.032
'01-Sep-2004'	0.032
'02-Sep-2004'	0.03656129
'03-Sep-2004'	0.038
'04-Sep-2004'	0.033858333
'05-Sep-2004'	0.027858333
'06-Sep-2004'	0.026
'07-Sep-2004'	0.026
'08-Sep-2004'	0.026
'09-Sep-2004'	0.021168056
'10-Sep-2004'	0.018814286
'11-Sep-2004'	0.017013636
'12-Sep-2004'	0.018366667
'13-Sep-2004'	0.024885
'14-Sep-2004'	0.030138793
'15-Sep-2004'	0.0278625
'16-Sep-2004'	0.026
'17-Sep-2004'	0.026
'18-Sep-2004'	0.026
'19-Sep-2004'	0.023929167
'20-Sep-2004'	0.023
'21-Sep-2004'	0.025070833
'22-Sep-2004'	0.026
'23-Sep-2004'	0.026
'24-Sep-2004'	0.026
'25-Sep-2004'	0.046250804
'26-Sep-2004'	0.041632221
'27-Sep-2004'	0.0296
'28-Sep-2004'	0.026
'29-Sep-2004'	0.026
'30-Sep-2004'	0.026
'01-Oct-2004'	0.026
'02-Oct-2004'	0.026
'03-Oct-2004'	0.026
'04-Oct-2004'	0.026
'05-Oct-2004'	0.026
'06-Oct-2004'	0.026
'07-Oct-2004'	0.026
'08-Oct-2004'	0.026
'09-Oct-2004'	0.026
'10-Oct-2004'	0.033714286
'11-Oct-2004'	0.097333333
'12-Oct-2004'	0.089705882
'13-Oct-2004'	0.065
'14-Oct-2004'	0.05
'15-Oct-2004'	0.038
'16-Oct-2004'	0.038
'17-Oct-2004'	0.170315
'18-Oct-2004'	0.3936
'19-Oct-2004'	0.14675
'20-Oct-2004'	0.09825
'21-Oct-2004'	0.073166667
'22-Oct-2004'	0.065
'23-Oct-2004'	0.243714286
'24-Oct-2004'	0.174345833
'25-Oct-2004'	0.12245
'26-Oct-2004'	0.099829167
'27-Oct-2004'	0.084
'28-Oct-2004'	0.077104167
'29-Oct-2004'	0.06779375
'30-Oct-2004'	0.065
'31-Oct-2004'	0.065
'01-Nov-2004'	0.065
'02-Nov-2004'	0.065
'03-Nov-2004'	0.065
'04-Nov-2004'	0.065
'05-Nov-2004'	0.065
